feature,target,n_with,n_without,p_target_given_feature,p_target_given_not_feature,lift
landing_ownership,yield_sma_tick,14,486,0.2857142857142857,0.037037037037037035,0.24867724867724866
landing_risk_statistics,yield_sma_tick,379,121,0.05013192612137203,0.024793388429752067,0.025338537691619964
landing_overall_ratings,yield_sma_tick,274,226,0.05474452554744526,0.030973451327433628,0.02377107422001163
landing_mf_key_ratios,yield_sma_tick,364,136,0.04945054945054945,0.029411764705882353,0.020038784744667096
landing_top10,yield_sma_tick,410,90,0.046341463414634146,0.03333333333333333,0.013008130081300813
landing_objective,yield_sma_tick,439,61,0.04555808656036447,0.03278688524590164,0.012771201314462827
landing_mf_esg,yield_sma_tick,224,276,0.049107142857142856,0.03985507246376811,0.009252070393374744
landing_mstar,yield_sma_tick,196,304,0.03571428571428571,0.049342105263157895,-0.013627819548872183
landing_key_profile,yield_sma_tick,487,13,0.043121149897330596,0.07692307692307693,-0.03380192702574633
landing_ok,yield_sma_tick,500,0,0.044,,
landing_dividends,yield_sma_tick,500,0,0.044,,
